name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	25000	25000	0	200	200	-1	1090	1090	-1	879	879	-1	75	75	-1	920	920	-1	960	960	-1	t < 800 ms	586	2	800 ms < t < 1200 ms	24414	97	t > 1200 ms	0	0	failed	0	0	281	281	-1
My Page	25000	25000	0	200	200	-1	1090	1090	-1	879	879	-1	75	75	-1	920	920	-1	960	960	-1	t < 800 ms	586	2	800 ms < t < 1200 ms	24414	97	t > 1200 ms	0	0	failed	0	0	281	281	-1
