name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	50000	47534	2466	190	190	7010	63010	59180	63010	1465	1145	7625	1555	1189	0	7010	1980	7020	7020	4260	52820	t < 800 ms	4525	9	800 ms < t < 1200 ms	40115	80	t > 1200 ms	2894	5	failed	2466	4	282	268	14
My Page	50000	47534	2466	190	190	7010	63010	59180	63010	1465	1145	7625	1555	1189	0	7010	1980	7020	7020	4260	52820	t < 800 ms	4525	9	800 ms < t < 1200 ms	40115	80	t > 1200 ms	2894	5	failed	2466	4	282	268	14
