name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	65000	59729	5271	190	190	7010	63030	56620	63030	1809	1211	8584	2042	1258	0	7010	2050	16140	10140	5210	54140	t < 800 ms	3849	5	800 ms < t < 1200 ms	51171	78	t > 1200 ms	4709	7	failed	5271	8	307	282	25
My Page	65000	59729	5271	190	190	7010	63030	56620	63030	1809	1211	8584	2042	1258	0	7010	2050	16140	10140	5210	54140	t < 800 ms	3849	5	800 ms < t < 1200 ms	51171	78	t > 1200 ms	4709	7	failed	5271	8	307	282	25
