name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	800000	800000	0	190	190	-1	39030	39030	-1	7486	7486	-1	4673	4673	-1	16570	16570	-1	22360	22360	-1	t < 800 ms	15322	1	800 ms < t < 1200 ms	11852	1	t > 1200 ms	772826	96	failed	0	0	878	878	-1
My Page	800000	800000	0	190	190	-1	39030	39030	-1	7486	7486	-1	4673	4673	-1	16570	16570	-1	22360	22360	-1	t < 800 ms	15322	1	800 ms < t < 1200 ms	11852	1	t > 1200 ms	772826	96	failed	0	0	878	878	-1
